name_1,name_2,true,pred,prob
MPN001,MPN002,1,0,0.49
MPN002,MPN003,1,0,0.49
MPN003,MPN004,1,1,0.86
MPN004,MPN005,1,0,0.49
MPN005,MPN006,1,0,0.49
MPN006,MPN007,1,1,0.98
MPN007,MPN008,1,0,0.49
MPN008,MPN009,1,0,0.49
MPN013,MPN014,0,0,0.49
MPN024,MPN025,1,0,0.49
MPN025,MPN028,0,0,0.49
MPN028,MPN029,0,0,0.49
MPN029,MPN030,1,0,0.49
MPN030,MPN031,1,0,0.49
MPN031,MPN035,0,0,0.49
MPN035,MPN036,0,0,0.49
MPN043,MPN045,0,0,0.49
MPN045,MPN046,1,1,0.98
MPN046,MPN047,0,0,0.49
MPN047,MPN048,0,0,0.49
MPN048,MPN049,1,0,0.49
MPN052,MPN053,1,0,0.49
MPN055,MPN056,1,1,1.0
MPN056,MPN057,1,1,0.995
MPN057,MPN058,1,1,0.99
MPN058,MPN059,0,0,0.49
MPN059,MPN060,1,0,0.49
MPN062,MPN063,1,1,1.0
MPN063,MPN064,1,1,0.995
MPN064,MPN065,1,1,0.98
MPN065,MPN066,1,1,0.97
MPN066,MPN075,0,0,0.49
MPN075,MPN078,0,0,0.49
MPN078,MPN079,0,1,0.96
MPN080,MPN081,1,0,0.49
MPN089,MPN090,0,0,0.49
MPN105,MPN106,1,1,1.0
MPN106,MPN107,1,0,0.49
MPN107,MPN108,1,0,0.49
MPN115,MPN116,1,1,0.99
MPN116,MPN117,1,1,1.0
MPN117,MPN119,0,0,0.49
MPN119,MPN120,1,0,0.49
MPN120,MPN121,1,0,0.49
MPN121,MPN122,1,0,0.49
MPN122,MPN123,1,1,0.95
MPN123,MPN126,0,0,0.49
MPN133,MPN134,1,0,0.49
MPN134,MPN135,1,1,1.0
MPN135,MPN136,1,1,1.0
MPN140,MPN141,1,0,0.49
MPN141,MPN142,1,0,0.49
MPN152,MPN153,0,0,0.49
MPN155,MPN156,1,0,0.49
MPN156,MPN157,1,0,0.49
MPN157,MPN158,1,0,0.49
MPN158,MPN159,0,0,0.49
MPN159,MPN160,1,0,0.49
MPN160,MPN161,0,0,0.49
MPN161,MPN162,0,0,0.49
MPN162,MPN163,0,0,0.49
MPN163,MPN164,1,0,0.49
MPN164,MPN165,1,1,0.975
MPN165,MPN166,1,1,1.0
MPN166,MPN167,1,1,0.9299999999999999
MPN188,MPN189,1,1,0.975
MPN189,MPN190,1,1,0.985
MPN190,MPN191,1,1,0.985
MPN191,MPN192,1,1,1.0
MPN192,MPN193,1,0,0.49
MPN193,MPN194,1,1,0.99
MPN194,MPN195,1,1,1.0
MPN195,MPN196,1,0,0.49
MPN196,MPN197,1,0,0.49
MPN197,MPN198,1,0,0.49
MPN198,MPN199,0,0,0.49
MPN200,MPN201,0,0,0.49
MPN207,MPN208,1,0,0.49
MPN208,MPN209,1,0,0.49
MPN209,MPN210,0,0,0.49
MPN210,MPN211,1,0,0.49
MPN211,MPN212,0,0,0.49
MPN212,MPN213,1,0,0.49
MPN219,MPN220,1,1,1.0
MPN220,MPN221,1,0,0.49
MPN223,MPN224,1,0,0.49
MPN224,MPN225,1,0,0.49
MPN225,MPN226,1,1,0.935
MPN226,MPN227,1,1,0.865
MPN227,MPN228,1,1,0.86
MPN228,MPN229,1,1,0.86
MPN229,MPN230,1,1,0.865
MPN230,MPN231,1,1,0.915
MPN231,MPN232,1,1,0.83
MPN232,MPN233,1,0,0.49
MPN233,MPN234,0,0,0.49
MPN234,MPN235,1,0,0.49
MPN235,MPN236,0,0,0.49
MPN236,MPN237,1,1,0.995
MPN237,MPN238,1,1,1.0
MPN238,MPN239,0,0,0.49
MPN239,MPN240,1,0,0.49
MPN240,MPN241,1,0,0.49
MPN241,MPN242,0,0,0.49
MPN242,MPN243,1,0,0.49
MPN243,MPN244,1,0,0.49
MPN244,MPN246,0,0,0.49
MPN246,MPN247,1,1,0.75
MPN247,MPN248,1,1,0.94
MPN248,MPN249,1,0,0.49
MPN272,MPN275,0,0,0.49
MPN275,MPN277,0,0,0.49
