name_1,name_2,true,pred_0,pred_1,pred_2,prob,pred
dnaA,SAOUHSC_00002,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00002,SAOUHSC_00003,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00003,recF,-1,1.0,1.0,1.0,1.0,1
recF,SAOUHSC_00005,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00005,SAOUHSC_00006,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00006,SAOUHSC_00008,-1,,,,0.49,0
SAOUHSC_00008,SAOUHSC_00009,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00009,SAOUHSC_00010,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00010,SAOUHSC_00012,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00012,SAOUHSC_00013,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00013,SAOUHSC_00014,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00014,SAOUHSC_00015,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00015,rplI,-1,1.0,1.0,1.0,1.0,1
rplI,SAOUHSC_00018,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00018,SAOUHSC_00019,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00019,SAOUHSC_T00018,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_T00018,SAOUHSC_T00011,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_T00011,SAOUHSC_00020,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00020,SAOUHSC_00021,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00021,SAOUHSC_00022,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00022,SAOUHSC_00023,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00023,SAOUHSC_00024,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00024,SAOUHSC_00025,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00025,SAOUHSC_00027,-1,,,,0.49,0
SAOUHSC_00027,SAOUHSC_00029,-1,,,,0.49,0
SAOUHSC_00029,SAOUHSC_00030,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00030,SAOUHSC_00035,-1,,,,0.49,0
SAOUHSC_00035,SAOUHSC_00036,-1,1.0,1.0,0.0,0.6666666666666666,1
SAOUHSC_00036,SAOUHSC_00037,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00037,SAOUHSC_00040,-1,,,,0.49,0
SAOUHSC_00040,SAOUHSC_00041,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00041,SAOUHSC_00044,-1,,,,0.49,0
SAOUHSC_00044,SAOUHSC_00046,-1,,,,0.49,0
SAOUHSC_00046,SAOUHSC_00047,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00047,SAOUHSC_00049,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00049,SAOUHSC_00050,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00050,SAOUHSC_00051,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00051,SAOUHSC_00052,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00052,SAOUHSC_00053,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00053,SAOUHSC_00054,-1,1.0,1.0,0.0,0.6666666666666666,1
SAOUHSC_00054,SAOUHSC_00055,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00055,SAOUHSC_00056,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00056,SAOUHSC_00057,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00057,SAOUHSC_00058,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00058,SAOUHSC_00064,-1,,,,0.49,0
SAOUHSC_00064,SAOUHSC_00065,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00065,SAOUHSC_00067,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00067,SAOUHSC_00075,-1,,,,0.49,0
SAOUHSC_00075,SAOUHSC_00076,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00076,SAOUHSC_00077,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00077,SAOUHSC_00078,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00078,SAOUHSC_00079,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00079,SAOUHSC_00080,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00080,SAOUHSC_00081,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00081,SAOUHSC_00082,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00082,SAOUHSC_00083,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00083,SAOUHSC_00084,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00084,SAOUHSC_00085,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00085,SAOUHSC_00086,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00086,SAOUHSC_00087,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00087,SAOUHSC_00088,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00088,SAOUHSC_00089,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00089,SAOUHSC_00090,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00090,SAOUHSC_00091,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00091,SAOUHSC_00092,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00092,SAOUHSC_00093,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00093,SAOUHSC_00094,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00094,SAOUHSC_00097,-1,,,,0.49,0
SAOUHSC_00097,SAOUHSC_00099,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00099,SAOUHSC_00100,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00100,SAOUHSC_00101,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00101,SAOUHSC_00106,-1,,,,0.49,0
SAOUHSC_00106,SAOUHSC_00107,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00107,SAOUHSC_00108,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00108,SAOUHSC_00109,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00109,SAOUHSC_00111,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00111,SAOUHSC_00113,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00113,SAOUHSC_00114,-1,0.0,0.0,0.0,0.0,0
SAOUHSC_00114,SAOUHSC_00115,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00115,SAOUHSC_00116,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00116,SAOUHSC_00117,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00117,SAOUHSC_00118,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00118,SAOUHSC_00119,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00119,SAOUHSC_00120,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00120,SAOUHSC_00121,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00121,SAOUHSC_00122,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00122,SAOUHSC_00123,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00123,SAOUHSC_00124,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00124,SAOUHSC_00125,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00125,SAOUHSC_00126,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00126,SAOUHSC_00127,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00127,SAOUHSC_00128,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00128,SAOUHSC_00129,-1,1.0,1.0,1.0,1.0,1
SAOUHSC_00129,SAOUHSC_00132,-1,,,,0.49,0
SAOUHSC_00132,SAOUHSC_00133,-1,0.0,0.0,0.0,0.0,0
