name_1,name_2,true,pred_0,pred_1,pred_2,pred
BB_0181,BB_0182,1,1,1,1,1
BB_0182,BB_0183,1,1,1,1,1
BB_0668,BB_0669,1,0,0,0,0
BB_0669,BB_0670,1,1,1,1,1
BB_0670,BB_0671,1,1,1,1,1
BB_0671,BB_0672,1,1,1,0,1
BB_0282,BB_0281,1,0,0,0,0
BB_0281,BB_0280,1,1,0,0,0
BB_0280,BB_0279,1,1,1,1,1
BB_0279,BB_0278,1,1,1,1,1
BB_0278,BB_0277,1,1,0,0,0
BB_0277,BB_0276,1,1,1,1,1
BB_0276,BB_0275,1,1,1,1,1
BB_0275,BB_0274,1,1,1,1,1
BB_0274,BB_0273,1,1,1,1,1
BB_0273,BB_0272,1,0,0,1,0
BB_0272,BB_0271,1,1,1,1,1
BB_0271,BB_0270,1,1,1,1,1
BB_0270,BB_0269,1,1,1,1,1
BB_0154,BB_0153,1,1,1,1,1
